business_id,display_name,brand_name,category,verified,official_domain,domain_used_by_sender,account_age_days,messages_sent_30d,user_reports_30d,domain_used_by_sender_age_days
business_001,Amazon India,Amazon India,ecommerce_delivery,1,amazon.in,amazon.in,937,1243,3,729
business_051,Bank of America,Bank of America,bank,1,bankofamerica.com,bankofamerica.com,2787,3393,8,2179
business_011,Myntra,Myntra,fashion,1,myntra.com,myntra.com,1307,1673,4,1019
business_061,Grab,Grab,ride_booking,1,grab.com,grab.com,3157,3823,9,2469
business_021,Airtel,Airtel,telecom,1,airtel.in,airtel.in,1677,2103,5,1309
business_071,UPS,UPS,logistics,1,ups.com,ups.com,3527,4253,10,2759
business_031,Spotify,Spotify,streaming,1,spotify.com,spotify.com,2047,2533,6,1599
business_081,AJIO,AJIO,fashion,1,ajio.com,ajio.com,3897,4683,2,3049
business_041,PhonePe Cashback Desk,PhonePe,payments,0,phonepe.com,phonepe-rewards.in,28,787,62,7
business_091,Hoop,Hoop,healthcare_product,1,hoophello.com,hoophello.com,4267,5113,3,3339
business_101,Aetna Health,Aetna Health,insurance,1,aetna.com,aetna.com,4637,5543,4,3629
business_002,HDFC Bank,HDFC Bank,bank,1,hdfc.bank.in,hdfc.bank.in,974,1286,4,758
business_052,Barclays,Barclays,bank,1,barclays.co.uk,barclays.co.uk,2824,3436,9,2208
business_012,Nykaa,Nykaa,beauty,1,nykaa.com,nykaa.com,1344,1716,5,1048
business_062,Chase Security Center,Chase,bank,0,chase.com,chase-secure-alert.com,24,1144,55,10
business_022,Jio,Jio,telecom,1,jio.com,jio.com,1714,2146,6,1338
business_072,T-Mobile,T-Mobile,telecom,1,t-mobile.com,t-mobile.com,3564,4296,2,2788
business_032,Green Cross Pharmacy,Green Cross Pharmacy,healthcare,0,,greencrosspharmacy.in,420,74,0,390
business_082,Zerodha,Zerodha,fintech,1,zerodha.com,zerodha.com,3934,4726,3,3078
business_042,Razorpay Invoice Desk,Razorpay,payments,0,razorpay.com,razorpay-billpay.in,29,804,65,8
business_092,Thrillophilia,Thrillophilia,travel,1,thrillophilia.com,link.wame.pro,4304,5156,4,3368
business_102,GEICO Auto,GEICO Auto,vehicle_insurance,1,geico.com,geico.com,4674,5586,5,3658
business_003,Flipkart,Flipkart,ecommerce,1,flipkart.com,flipkart.com,1011,1329,5,787
business_053,HSBC,HSBC,bank,1,hsbc.com,hsbc.com,2861,3479,10,2237
business_013,Paytm,Paytm,payments,1,paytm.com,paytm.com,1381,1759,6,1077
business_063,HSBC Secure Desk,HSBC,bank,0,hsbc.com,hsbc-alerts.net,25,1161,58,11
business_023,Vi,Vi,telecom,1,myvi.in,myvi.in,1751,2189,7,1367
business_073,Verizon,Verizon,telecom,1,verizon.com,verizon.com,3601,4339,3,2817
business_033,HDFC Bank Helpdesk,HDFC Bank,bank,0,hdfc.bank.in,hdfcbank-kyc.in,20,651,38,17
business_083,Groww,Groww,fintech,1,groww.in,groww.in,3971,4769,4,3107
business_043,Airtel SIM Verification,Airtel,telecom,0,airtel.in,airtel-simkyc.in,30,821,68,9
business_093,RazorpayX,RazorpayX,payments,1,razorpayx.com,razorpayx.com,4341,5199,5,3397
business_103,GoMechanic,GoMechanic,vehicle_service,1,gomechanic.in,gomechanic.in,4711,5629,6,3687
business_004,Apollo 24|7,Apollo 24|7,healthcare,1,apollo247.com,apollo247.com,1048,1372,6,816
business_054,Santander,Santander,bank,1,santander.com,santander.com,2898,3522,2,2266
business_014,PhonePe,PhonePe,payments,1,phonepe.com,phonepe.com,1418,1802,7,1106
business_064,Talabat Refund Desk,Talabat,food_delivery,0,talabat.com,talabat-refund.com,26,1178,61,12
business_024,Practo,Practo,healthcare,1,practo.com,practo.com,1788,2232,8,1396
business_074,Wells Fargo,Wells Fargo,bank,1,wellsfargo.com,wellsfargo.com,3638,4382,4,2846
business_034,SBI Reward Center,State Bank of India,bank,0,sbi.bank.in,sbireward.in,21,668,41,18
business_084,noon,noon,ecommerce,1,noon.com,noon.com,4008,4812,5,3136
business_044,Jio Recharge Rewards,Jio,telecom,0,jio.com,jioreward.in,31,838,71,10
business_094,Swish,Swish,food_delivery,1,swish.in,swish.in,4378,5242,6,3426
business_104,VehicleInfo,VehicleInfo,traffic_challan,1,vehicleinfo.app,vehicleinfo.app,4748,5672,7,3716
business_005,MakeMyTrip,MakeMyTrip,travel,1,makemytrip.com,makemytrip.com,1085,1415,7,845
business_055,DBS Bank,DBS Bank,bank,1,dbs.com.sg,dbs.com.sg,2935,3565,3,2295
